,corn,olives,mushrooms,spinach,pineapple,artichoke,chilli,pepper,onion,mozzarella,egg,pepperoni,beef,chicken,bacon,vegan,vegetarian,meaty
33,False,False,False,False,False,False,True,True,False,True,True,True,False,True,False,False,False,True
34,False,False,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True
35,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,False,False,True
36,False,False,False,False,False,True,True,False,False,True,True,True,True,True,False,False,False,True
37,False,False,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True
38,True,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True
39,False,False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True
40,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True
41,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,False,True
42,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,True
43,False,False,False,True,False,True,False,False,True,True,True,False,True,False,True,False,False,True
44,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True
45,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
46,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True
47,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True
48,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
49,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True
50,False,False,False,True,False,False,True,False,True,True,False,True,True,False,True,False,False,True
51,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True
52,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True
53,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,False,False,True
54,False,False,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True
55,False,False,True,False,False,True,True,False,False,True,False,True,True,True,False,False,False,True
56,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True
57,False,False,False,False,False,True,True,False,True,True,False,True,True,False,True,False,False,True
58,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
59,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True
60,False,False,True,False,False,True,False,True,False,True,True,True,True,True,False,False,False,True
61,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
62,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
63,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True
64,False,False,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False,True
65,True,True,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,True
66,False,False,False,False,True,True,True,False,False,True,True,False,True,False,False,False,False,True
67,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True
68,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True
69,True,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,False,True
70,False,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True
71,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
72,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True
73,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
74,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True
75,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True
76,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True
77,False,False,False,True,True,False,True,False,False,True,True,False,True,True,True,False,False,True
78,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
79,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True
80,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,False,True
81,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True
82,False,False,False,True,False,False,False,False,True,True,True,False,True,False,True,False,False,True
83,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,True
84,False,True,False,False,False,False,True,True,False,True,True,True,False,True,True,False,False,True
85,False,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,False,True
86,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True
87,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True
88,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True
89,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False
90,True,True,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,True
91,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True
92,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True
93,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True
94,True,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,True
95,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True
96,False,False,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,True
97,True,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,False,True
98,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True
99,False,False,False,True,False,False,True,True,False,True,True,False,False,False,True,False,False,True
100,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True
101,False,False,False,False,False,True,True,True,False,True,True,False,False,False,True,False,False,True
102,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True
103,False,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True
104,False,True,False,True,False,False,False,True,False,False,True,True,True,False,True,False,False,True
105,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,True
106,False,True,False,False,False,True,False,True,False,True,True,False,True,True,True,False,False,True
107,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
108,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True
109,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
110,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
111,False,False,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,True
112,True,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,True
113,False,True,False,False,True,True,False,False,False,True,True,True,False,False,True,False,False,True
114,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True
115,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,True
116,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,False,True
117,False,False,True,False,False,False,True,True,False,True,True,False,True,False,True,False,False,True
118,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
119,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True
120,False,True,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,True
121,False,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,True
122,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True
123,False,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,False,True
124,False,False,False,True,True,False,True,False,False,True,True,True,False,False,False,False,False,True
125,True,False,True,False,False,False,True,False,False,True,True,True,True,False,True,False,False,True
126,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True
127,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True
128,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True
129,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True
130,True,False,False,False,True,False,False,False,True,True,True,True,False,False,True,False,False,True
131,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
132,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
133,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True
134,False,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True
135,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True
136,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,True
137,False,False,False,False,True,False,True,False,True,True,True,False,True,False,True,False,False,True
138,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
139,False,True,False,True,False,False,True,False,False,True,True,False,True,True,True,False,False,True
140,False,False,True,True,False,False,False,True,False,True,True,True,False,False,True,False,False,True
141,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
142,False,True,True,False,False,False,True,False,False,True,False,True,True,False,True,False,False,True
143,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True
144,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,True
145,False,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True
146,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,True
147,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,False,True
148,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
149,False,False,True,False,False,True,True,False,False,True,True,False,True,False,False,False,False,True
150,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False
151,False,False,False,False,True,False,True,False,True,True,True,True,False,False,True,False,False,True
152,True,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,True
153,False,False,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True
154,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,True
155,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True
156,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
157,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False,False,True
158,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,False,False,True
159,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,True
160,False,False,False,True,False,False,False,True,False,True,True,True,False,True,True,False,False,True
161,False,False,False,True,False,True,False,True,False,False,True,True,True,False,True,False,False,True
162,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True
163,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True
164,False,False,True,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True
165,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False
166,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True
167,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True
168,True,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True
169,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True
170,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
171,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,True
172,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
173,True,True,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,True
174,False,False,False,True,False,False,False,True,True,True,True,False,False,True,False,False,False,True
175,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
176,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
177,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,True
178,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True
179,False,True,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,True
180,False,True,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,True
181,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True
182,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False
183,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,False,True
184,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True
185,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True
186,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
187,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,False,True
188,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,False,True
189,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True
190,True,True,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,True
191,False,False,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True
192,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True
193,False,False,False,True,False,False,False,True,True,True,True,False,False,True,True,False,False,True
194,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
195,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
196,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,False,False,True
197,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True
198,False,True,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,True
199,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True
200,False,False,False,False,True,True,True,False,False,True,False,True,True,False,True,False,False,True
201,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,True
202,True,False,True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True
203,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True
204,False,True,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,True
205,False,False,False,True,False,True,False,False,False,True,True,True,True,False,True,False,False,True
206,False,True,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True
207,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True
208,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True
209,False,False,False,False,False,False,True,True,True,True,False,True,True,False,False,False,False,True
210,False,False,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,True
211,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
212,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True
213,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True
214,False,False,False,False,True,False,True,False,True,True,False,True,True,True,False,False,False,True
215,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,True
216,False,True,False,False,False,False,True,True,False,False,True,True,True,False,True,False,False,True
217,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True
218,False,False,False,True,True,True,False,False,False,False,True,True,False,True,True,False,False,True
219,True,False,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,True
220,True,True,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True
221,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,False,True
222,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True
223,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
224,False,True,False,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True
225,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True
226,True,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,True
227,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True
228,False,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,True
229,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True,False,False,True
230,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
231,False,False,False,True,True,True,False,False,False,True,True,False,False,False,True,False,False,True
232,False,True,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,True
233,False,True,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True
234,True,False,False,True,False,False,False,False,True,True,True,True,False,True,False,False,False,True
235,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
236,True,True,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True
237,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False,False,True
238,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
239,False,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True
240,True,False,False,True,False,True,False,False,False,True,True,True,True,False,True,False,False,True
241,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False
242,False,False,True,False,False,True,False,False,False,True,True,True,False,False,True,False,False,True
243,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
244,False,False,False,False,True,False,True,False,False,True,False,False,True,True,True,False,False,True
245,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,False,False,True
246,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,True
247,False,False,True,False,True,False,False,False,False,False,True,True,True,False,True,False,False,True
248,True,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True
249,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
250,False,False,False,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True
251,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True
252,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
253,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False
254,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True
255,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True
256,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
257,True,False,True,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True
258,False,False,False,True,False,False,True,True,False,True,True,False,True,False,True,False,False,True
259,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,True
260,True,False,False,False,True,False,False,False,True,True,True,False,False,True,True,False,False,True
261,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True
262,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,True
263,False,False,False,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True
264,True,True,False,False,True,False,False,False,False,True,True,False,True,True,True,False,False,True
265,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True
266,False,False,True,False,False,False,True,True,False,False,True,True,True,True,False,False,False,True
267,False,False,False,False,True,False,True,True,False,False,True,True,True,False,False,False,False,True
268,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True
269,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
270,False,True,True,False,False,False,True,False,False,True,True,False,True,False,True,False,False,True
271,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,True
272,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True
273,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True,False,False,True
274,True,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True
275,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True
276,False,True,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,True
277,False,True,False,True,False,False,False,True,False,False,True,True,True,True,False,False,False,True
278,True,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,True
279,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True
280,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True
281,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,False
282,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True
283,True,False,False,False,False,True,False,True,False,False,True,True,False,True,True,False,False,True
284,False,False,True,False,True,False,False,False,True,False,True,True,True,True,False,False,False,True
285,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True
286,True,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True
287,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
288,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True
289,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False,False,True
290,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True
291,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True
292,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
293,False,True,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,True
294,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,False,False,True
295,False,False,False,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True
296,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,False,True
297,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,False,True
298,False,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True
299,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
300,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False
301,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False,False,True
302,True,True,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True
303,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,True
304,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True
305,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True
306,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True
307,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,True
308,False,True,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True
309,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True
310,False,False,True,False,True,False,True,False,False,True,True,True,False,False,True,False,False,True
311,False,False,False,True,False,False,False,True,False,True,True,True,False,True,False,False,False,True
312,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True
313,False,True,False,False,False,True,False,False,True,True,True,True,False,True,True,False,False,True
314,False,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,True
315,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
316,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
317,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True
318,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
319,False,False,False,False,True,True,False,False,False,True,True,True,True,True,False,False,False,True
320,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True
321,True,False,False,True,True,False,False,False,False,True,True,True,False,True,False,False,False,True
322,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,False,False,True
323,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,True
324,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,True
325,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
326,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True
327,False,True,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True
328,False,False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True
329,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True
330,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
331,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True
332,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False
333,False,True,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True
334,False,False,True,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True
335,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True
336,True,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,False,True
337,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True
338,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True
339,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True
340,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,False,True
341,False,False,True,False,False,False,False,True,True,True,True,True,False,False,True,False,False,True
342,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
343,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,True
344,True,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,False,True
345,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True
346,False,True,False,False,True,False,False,False,False,True,True,False,True,True,True,False,False,True
347,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,False,False,True
348,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,True
349,False,False,False,True,True,False,True,False,False,True,True,True,False,True,True,False,False,True
350,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
351,False,False,False,True,True,False,False,True,False,False,True,True,True,False,True,False,False,True
352,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True
353,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True
354,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,False,False,True
355,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
356,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
357,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
358,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True
359,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,False,False,True
360,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True
361,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,False,True
362,False,False,False,True,False,False,True,False,False,True,True,True,True,False,True,False,False,True
363,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
