,day,minute,hour,second,type
67,Monday,16,8,41,traffic
68,Monday,17,8,10,traffic
69,Monday,17,8,34,traffic
70,Monday,17,8,58,traffic
71,Monday,18,8,3,traffic
72,Monday,18,8,5,traffic
73,Monday,18,8,20,traffic
74,Monday,18,8,48,traffic
75,Monday,19,8,3,traffic
76,Monday,19,8,32,traffic
77,Monday,20,8,1,traffic
78,Monday,20,8,21,traffic
79,Monday,20,8,30,traffic
80,Monday,20,8,55,traffic
81,Monday,21,8,5,traffic
82,Monday,21,8,9,traffic
83,Monday,21,8,27,traffic
84,Monday,21,8,42,traffic
85,Monday,21,8,53,traffic
86,Monday,22,8,20,traffic
87,Monday,22,8,40,traffic
88,Monday,22,8,53,traffic
89,Monday,23,8,21,traffic
90,Monday,23,8,49,traffic
91,Monday,23,8,50,traffic
92,Monday,23,8,54,traffic
93,Monday,24,8,22,traffic
94,Monday,24,8,51,traffic
95,Monday,25,8,13,traffic
96,Monday,25,8,32,traffic
97,Monday,25,8,57,traffic
98,Monday,26,8,13,traffic
99,Monday,26,8,31,traffic
100,Monday,26,8,40,traffic
101,Monday,26,8,51,traffic
102,Monday,27,8,5,traffic
103,Monday,27,8,31,traffic
104,Monday,27,8,36,traffic
105,Monday,27,8,57,traffic
106,Monday,28,8,12,traffic
107,Monday,28,8,20,traffic
108,Monday,28,8,21,traffic
109,Monday,28,8,47,traffic
110,Monday,29,8,8,traffic
111,Monday,29,8,36,traffic
112,Monday,29,8,57,traffic
113,Monday,29,8,59,traffic
114,Monday,30,8,17,traffic
115,Monday,30,8,44,traffic
116,Monday,30,8,45,traffic
117,Monday,31,8,7,traffic
118,Monday,31,8,12,traffic
119,Monday,31,8,15,traffic
120,Monday,31,8,32,traffic
121,Monday,31,8,51,traffic
122,Monday,32,8,0,traffic
123,Monday,32,8,15,traffic
124,Monday,32,8,43,traffic
125,Monday,32,8,45,traffic
126,Monday,32,8,55,traffic
128,Monday,33,8,5,traffic
129,Monday,33,8,22,traffic
130,Monday,33,8,47,traffic
131,Monday,33,8,50,traffic
132,Monday,34,8,9,traffic
133,Monday,34,8,12,traffic
134,Monday,34,8,16,traffic
135,Monday,34,8,29,traffic
136,Monday,34,8,32,traffic
137,Monday,34,8,42,traffic
138,Monday,34,8,47,traffic
139,Monday,35,8,7,traffic
140,Monday,35,8,29,traffic
141,Monday,35,8,39,traffic
142,Monday,36,8,4,traffic
143,Monday,36,8,33,traffic
144,Monday,36,8,41,traffic
145,Monday,36,8,48,traffic
146,Monday,36,8,52,traffic
148,Monday,37,8,14,traffic
149,Monday,37,8,38,traffic
150,Monday,37,8,44,traffic
151,Monday,38,8,9,traffic
152,Monday,38,8,20,traffic
153,Monday,38,8,29,traffic
154,Monday,38,8,33,traffic
155,Monday,38,8,55,traffic
156,Monday,39,8,24,traffic
157,Monday,39,8,53,traffic
158,Monday,40,8,1,traffic
159,Monday,40,8,8,traffic
160,Monday,40,8,13,traffic
161,Monday,40,8,28,traffic
162,Monday,40,8,39,traffic
163,Monday,40,8,43,traffic
164,Monday,40,8,45,traffic
165,Monday,41,8,12,traffic
166,Monday,41,8,20,traffic
167,Monday,41,8,28,traffic
168,Monday,41,8,44,traffic
169,Monday,42,8,6,traffic
170,Monday,42,8,9,traffic
171,Monday,42,8,14,traffic
172,Monday,42,8,26,traffic
173,Monday,42,8,52,traffic
174,Monday,42,8,56,traffic
175,Monday,43,8,6,traffic
176,Monday,43,8,17,traffic
177,Monday,43,8,36,traffic
178,Monday,43,8,42,traffic
179,Monday,43,8,48,traffic
180,Monday,44,8,11,traffic
181,Monday,44,8,23,traffic
182,Monday,44,8,32,traffic
183,Monday,45,8,0,traffic
184,Monday,45,8,14,traffic
185,Monday,45,8,43,traffic
186,Monday,46,8,8,traffic
187,Monday,46,8,10,traffic
188,Monday,46,8,22,traffic
189,Monday,46,8,38,traffic
190,Monday,47,8,2,traffic
191,Monday,47,8,29,traffic
192,Monday,47,8,54,traffic
193,Monday,48,8,5,traffic
194,Monday,48,8,25,traffic
195,Monday,48,8,33,traffic
196,Monday,48,8,45,traffic
197,Monday,48,8,48,traffic
198,Monday,49,8,12,traffic
200,Monday,49,8,14,traffic
201,Monday,49,8,22,traffic
202,Monday,49,8,29,traffic
203,Monday,49,8,47,traffic
204,Monday,50,8,0,traffic
205,Monday,50,8,22,traffic
206,Monday,50,8,32,traffic
207,Monday,50,8,33,traffic
208,Monday,50,8,34,traffic
209,Monday,50,8,56,traffic
210,Monday,51,8,11,traffic
211,Monday,51,8,20,traffic
212,Monday,51,8,34,traffic
213,Monday,51,8,46,traffic
214,Monday,52,8,7,traffic
215,Monday,52,8,21,traffic
216,Monday,52,8,45,traffic
217,Monday,52,8,47,traffic
218,Monday,53,8,1,traffic
219,Monday,53,8,18,traffic
220,Monday,53,8,26,traffic
221,Monday,53,8,33,traffic
222,Monday,53,8,38,traffic
223,Monday,53,8,57,traffic
224,Monday,54,8,12,traffic
225,Monday,54,8,13,traffic
226,Monday,54,8,16,traffic
227,Monday,54,8,31,traffic
228,Monday,54,8,54,traffic
229,Monday,55,8,23,traffic
230,Monday,55,8,24,traffic
231,Monday,55,8,32,traffic
232,Monday,55,8,56,traffic
233,Monday,56,8,24,traffic
234,Monday,56,8,42,traffic
235,Monday,56,8,44,traffic
236,Monday,57,8,13,traffic
237,Monday,57,8,42,traffic
238,Monday,58,8,9,traffic
239,Monday,58,8,12,traffic
240,Monday,58,8,24,traffic
241,Monday,58,8,48,traffic
242,Monday,59,8,4,traffic
243,Monday,59,8,17,traffic
245,Monday,59,8,36,traffic
246,Monday,59,8,38,traffic
247,Monday,59,8,42,traffic
248,Monday,59,8,43,traffic
249,Monday,59,8,46,traffic
250,Monday,59,8,51,traffic
251,Monday,59,8,52,traffic
252,Monday,59,8,57,traffic
253,Monday,0,9,24,traffic
254,Monday,0,9,32,traffic
255,Monday,1,9,1,traffic
256,Monday,1,9,4,traffic
257,Monday,1,9,7,traffic
258,Monday,1,9,25,traffic
259,Monday,1,9,52,traffic
260,Monday,2,9,7,traffic
261,Monday,2,9,36,traffic
262,Monday,3,9,3,traffic
263,Monday,3,9,20,traffic
264,Monday,3,9,34,traffic
265,Monday,3,9,35,traffic
266,Monday,4,9,0,traffic
267,Monday,4,9,2,traffic
268,Monday,4,9,31,traffic
269,Monday,4,9,49,traffic
270,Monday,5,9,2,traffic
271,Monday,5,9,29,traffic
272,Monday,5,9,39,traffic
273,Monday,5,9,51,traffic
274,Monday,6,9,9,traffic
275,Monday,6,9,33,traffic
276,Monday,6,9,43,traffic
278,Monday,6,9,57,traffic
279,Monday,7,9,21,traffic
280,Monday,7,9,38,traffic
281,Monday,7,9,57,traffic
282,Monday,7,9,59,traffic
283,Monday,8,9,23,traffic
284,Monday,8,9,40,traffic
285,Monday,9,9,5,traffic
286,Monday,9,9,17,traffic
287,Monday,9,9,40,traffic
288,Monday,10,9,8,traffic
289,Monday,10,9,25,traffic
290,Monday,10,9,45,traffic
291,Monday,11,9,4,traffic
292,Monday,11,9,8,traffic
293,Monday,11,9,22,traffic
294,Monday,11,9,25,traffic
295,Monday,11,9,31,traffic
296,Monday,11,9,38,traffic
297,Monday,11,9,45,traffic
298,Monday,12,9,0,traffic
299,Monday,12,9,21,traffic
300,Monday,12,9,36,traffic
301,Monday,12,9,49,traffic
302,Monday,12,9,50,traffic
303,Monday,13,9,2,traffic
304,Monday,13,9,31,traffic
305,Monday,13,9,35,traffic
306,Monday,13,9,42,traffic
307,Monday,13,9,58,traffic
308,Monday,14,9,19,traffic
309,Monday,14,9,34,traffic
310,Monday,14,9,38,traffic
311,Monday,15,9,1,traffic
312,Monday,15,9,30,traffic
313,Monday,15,9,51,traffic
314,Monday,15,9,54,traffic
315,Monday,16,9,17,traffic
316,Monday,16,9,27,traffic
317,Monday,16,9,36,traffic
318,Monday,16,9,41,traffic
319,Monday,17,9,5,traffic
320,Monday,17,9,34,traffic
321,Monday,17,9,50,traffic
322,Monday,18,9,19,traffic
323,Monday,18,9,46,traffic
324,Monday,19,9,4,traffic
325,Monday,19,9,24,traffic
326,Monday,19,9,37,traffic
327,Monday,19,9,52,traffic
328,Monday,20,9,5,traffic
329,Monday,20,9,6,traffic
330,Monday,20,9,28,traffic
331,Monday,20,9,50,traffic
332,Monday,20,9,57,traffic
333,Monday,21,9,2,traffic
334,Monday,21,9,27,traffic
335,Monday,21,9,28,traffic
336,Monday,21,9,55,traffic
337,Monday,22,9,4,traffic
338,Monday,22,9,9,traffic
339,Monday,22,9,29,traffic
340,Monday,22,9,39,traffic
341,Monday,23,9,0,traffic
342,Monday,23,9,8,traffic
344,Monday,23,9,10,traffic
345,Monday,23,9,11,traffic
346,Monday,23,9,19,traffic
347,Monday,23,9,29,traffic
348,Monday,23,9,31,traffic
349,Monday,23,9,47,traffic
350,Monday,23,9,50,traffic
351,Monday,24,9,19,traffic
352,Monday,24,9,24,traffic
353,Monday,24,9,44,traffic
354,Monday,24,9,52,traffic
355,Monday,25,9,15,traffic
356,Monday,25,9,29,traffic
357,Monday,25,9,55,traffic
358,Monday,26,9,19,traffic
359,Monday,26,9,29,traffic
360,Monday,26,9,53,traffic
361,Monday,26,9,59,traffic
362,Monday,27,9,7,traffic
363,Monday,27,9,35,traffic
364,Monday,27,9,50,traffic
365,Monday,27,9,54,traffic
366,Monday,28,9,12,traffic
367,Monday,28,9,26,traffic
368,Monday,28,9,42,traffic
369,Monday,28,9,45,traffic
370,Monday,29,9,9,traffic
371,Monday,29,9,27,traffic
372,Monday,29,9,45,traffic
373,Monday,29,9,46,traffic
374,Monday,29,9,55,traffic
375,Monday,30,9,18,traffic
376,Monday,30,9,22,traffic
377,Monday,30,9,36,traffic
378,Monday,30,9,50,traffic
379,Monday,31,9,2,traffic
380,Monday,31,9,25,traffic
381,Monday,31,9,38,traffic
382,Monday,31,9,51,traffic
383,Monday,32,9,2,traffic
384,Monday,32,9,30,traffic
385,Monday,32,9,52,traffic
386,Monday,33,9,8,traffic
387,Monday,33,9,23,traffic
388,Monday,33,9,38,traffic
389,Monday,33,9,44,traffic
390,Monday,33,9,48,traffic
391,Monday,33,9,53,traffic
392,Monday,34,9,7,traffic
393,Monday,34,9,34,traffic
394,Monday,34,9,40,traffic
395,Monday,35,9,2,traffic
396,Monday,35,9,7,traffic
397,Monday,35,9,11,traffic
398,Monday,35,9,39,traffic
399,Monday,35,9,46,traffic
400,Monday,35,9,55,traffic
401,Monday,36,9,9,traffic
402,Monday,36,9,20,traffic
403,Monday,36,9,27,traffic
404,Monday,36,9,44,traffic
405,Monday,36,9,58,traffic
406,Monday,37,9,25,traffic
407,Monday,37,9,39,traffic
408,Monday,38,9,7,traffic
409,Monday,38,9,8,traffic
410,Monday,38,9,12,traffic
411,Monday,38,9,27,traffic
412,Monday,38,9,54,traffic
413,Monday,39,9,7,traffic
414,Monday,39,9,36,traffic
415,Monday,39,9,49,traffic
416,Monday,40,9,13,traffic
417,Monday,40,9,28,traffic
419,Monday,40,9,39,traffic
420,Monday,41,9,2,traffic
421,Monday,41,9,11,traffic
422,Monday,41,9,37,traffic
423,Monday,41,9,38,traffic
424,Monday,42,9,4,traffic
425,Monday,42,9,13,traffic
428,Monday,42,9,25,traffic
429,Monday,42,9,32,traffic
430,Monday,42,9,49,traffic
431,Monday,42,9,56,traffic
432,Monday,43,9,10,traffic
433,Monday,43,9,25,traffic
434,Monday,43,9,44,traffic
435,Monday,43,9,45,traffic
436,Monday,44,9,0,traffic
437,Monday,44,9,5,traffic
438,Monday,44,9,32,traffic
439,Monday,44,9,35,traffic
440,Monday,44,9,49,traffic
441,Monday,44,9,59,traffic
442,Monday,45,9,13,traffic
443,Monday,45,9,38,traffic
444,Monday,45,9,55,traffic
445,Monday,46,9,16,traffic
446,Monday,46,9,21,traffic
447,Monday,46,9,27,traffic
448,Monday,46,9,34,traffic
449,Monday,46,9,56,traffic
450,Monday,47,9,18,traffic
451,Monday,47,9,23,traffic
452,Monday,47,9,34,traffic
453,Monday,47,9,37,traffic
454,Monday,47,9,45,traffic
455,Monday,47,9,53,traffic
456,Monday,48,9,2,traffic
458,Monday,48,9,29,traffic
459,Monday,48,9,43,traffic
460,Monday,48,9,55,traffic
461,Monday,49,9,2,traffic
462,Monday,49,9,21,traffic
463,Monday,49,9,39,traffic
464,Monday,50,9,5,traffic
465,Monday,50,9,17,traffic
466,Monday,50,9,28,traffic
467,Monday,50,9,34,traffic
468,Monday,50,9,58,traffic
469,Monday,51,9,18,traffic
470,Monday,51,9,35,traffic
471,Monday,51,9,55,traffic
472,Monday,52,9,22,traffic
473,Monday,52,9,47,traffic
474,Monday,52,9,55,traffic
475,Monday,53,9,11,traffic
476,Monday,53,9,19,traffic
477,Monday,53,9,48,traffic
478,Monday,53,9,55,traffic
479,Monday,54,9,4,traffic
480,Monday,54,9,31,traffic
481,Monday,54,9,49,traffic
482,Monday,55,9,17,traffic
483,Monday,55,9,39,traffic
484,Monday,55,9,43,traffic
485,Monday,55,9,57,traffic
486,Monday,56,9,17,traffic
488,Monday,56,9,22,traffic
489,Monday,56,9,35,traffic
490,Monday,56,9,39,traffic
491,Monday,56,9,47,traffic
492,Monday,57,9,4,traffic
493,Monday,57,9,7,traffic
494,Monday,57,9,33,traffic
495,Monday,57,9,56,traffic
496,Monday,58,9,6,traffic
497,Monday,58,9,16,traffic
498,Monday,58,9,40,traffic
499,Monday,59,9,0,traffic
500,Monday,59,9,1,traffic
501,Monday,59,9,10,traffic
502,Monday,59,9,14,traffic
503,Monday,59,9,20,traffic
504,Monday,59,9,32,traffic
505,Monday,59,9,38,traffic
506,Monday,59,9,46,traffic
507,Monday,0,8,9,traffic
508,Monday,0,8,12,traffic
511,Monday,1,8,16,traffic
513,Monday,1,8,24,traffic
514,Monday,1,8,41,traffic
515,Monday,2,8,1,traffic
516,Monday,2,8,18,traffic
517,Monday,2,8,45,traffic
518,Monday,3,8,4,traffic
519,Monday,3,8,20,traffic
520,Monday,3,8,35,traffic
521,Monday,3,8,45,traffic
522,Monday,3,8,58,traffic
523,Monday,4,8,23,traffic
524,Monday,4,8,35,traffic
525,Monday,4,8,59,traffic
526,Monday,5,8,26,traffic
527,Monday,5,8,35,traffic
528,Monday,5,8,54,traffic
530,Monday,6,8,29,traffic
531,Monday,6,8,34,traffic
532,Monday,6,8,52,traffic
533,Monday,7,8,18,traffic
534,Monday,7,8,27,traffic
535,Monday,7,8,30,traffic
536,Monday,7,8,41,traffic
537,Monday,7,8,46,traffic
539,Monday,8,8,6,traffic
540,Monday,8,8,33,traffic
541,Monday,8,8,45,traffic
542,Monday,9,8,12,traffic
544,Monday,9,8,30,traffic
545,Monday,9,8,33,traffic
546,Monday,9,8,58,traffic
547,Monday,10,8,22,traffic
548,Monday,10,8,32,traffic
549,Monday,10,8,39,traffic
550,Monday,10,8,43,traffic
552,Monday,10,8,56,traffic
553,Monday,11,8,2,traffic
554,Monday,11,8,7,traffic
556,Monday,11,8,33,traffic
557,Monday,11,8,47,traffic
558,Monday,11,8,58,traffic
559,Monday,12,8,12,traffic
560,Monday,12,8,35,traffic
561,Monday,12,8,45,traffic
562,Monday,12,8,46,traffic
563,Monday,12,8,52,traffic
564,Monday,13,8,2,traffic
565,Monday,13,8,12,traffic
566,Monday,13,8,16,traffic
568,Monday,13,8,50,traffic
569,Monday,13,8,56,traffic
570,Monday,13,8,57,traffic
572,Monday,14,8,41,traffic
573,Monday,14,8,56,traffic
574,Monday,14,8,58,traffic
576,Monday,15,8,27,traffic
577,Monday,15,8,37,traffic
578,Monday,15,8,46,traffic
579,Monday,15,8,50,traffic
580,Monday,15,8,51,traffic
581,Monday,15,8,54,traffic
582,Monday,16,8,19,traffic
583,Monday,16,8,24,traffic
584,Monday,16,8,43,traffic
585,Monday,16,8,47,traffic
586,Monday,17,8,3,traffic
587,Monday,17,8,18,traffic
588,Monday,17,8,26,traffic
589,Monday,17,8,53,traffic
590,Monday,18,8,8,traffic
592,Monday,18,8,35,traffic
593,Monday,18,8,44,traffic
594,Monday,18,8,57,traffic
595,Monday,19,8,12,traffic
596,Monday,19,8,33,traffic
597,Monday,19,8,36,traffic
598,Monday,19,8,42,traffic
599,Monday,19,8,49,traffic
600,Monday,19,8,56,traffic
601,Monday,20,8,18,traffic
602,Monday,20,8,31,traffic
603,Monday,20,8,40,traffic
604,Monday,20,8,56,traffic
605,Monday,21,8,7,traffic
606,Monday,21,8,29,traffic
607,Monday,21,8,55,traffic
608,Monday,22,8,5,traffic
609,Monday,22,8,21,traffic
610,Monday,22,8,34,traffic
611,Monday,22,8,49,traffic
612,Monday,23,8,15,traffic
613,Monday,23,8,31,traffic
614,Monday,23,8,33,traffic
615,Monday,23,8,34,traffic
616,Monday,23,8,46,traffic
617,Monday,24,8,6,traffic
618,Monday,24,8,27,traffic
619,Monday,24,8,40,traffic
620,Monday,24,8,55,traffic
621,Monday,25,8,22,traffic
622,Monday,25,8,24,traffic
623,Monday,25,8,39,traffic
624,Monday,25,8,46,traffic
625,Monday,26,8,2,traffic
626,Monday,26,8,28,traffic
627,Monday,26,8,44,traffic
628,Monday,26,8,52,traffic
629,Monday,27,8,11,traffic
630,Monday,27,8,40,traffic
631,Monday,28,8,3,traffic
632,Monday,28,8,4,traffic
633,Monday,28,8,7,traffic
634,Monday,28,8,36,traffic
635,Monday,28,8,42,traffic
636,Monday,28,8,48,traffic
637,Monday,29,8,7,traffic
638,Monday,29,8,21,traffic
639,Monday,29,8,48,traffic
640,Monday,30,8,6,traffic
641,Monday,30,8,21,traffic
643,Monday,30,8,50,traffic
644,Monday,30,8,52,traffic
645,Monday,30,8,54,traffic
646,Monday,31,8,19,traffic
647,Monday,31,8,42,traffic
649,Monday,32,8,20,traffic
650,Monday,32,8,48,traffic
651,Monday,33,8,7,traffic
652,Monday,33,8,33,traffic
653,Monday,33,8,43,traffic
654,Monday,33,8,48,traffic
655,Monday,34,8,3,traffic
656,Monday,34,8,10,traffic
657,Monday,34,8,27,traffic
658,Monday,34,8,31,traffic
660,Monday,35,8,14,traffic
661,Monday,35,8,19,traffic
662,Monday,35,8,25,traffic
663,Monday,35,8,45,traffic
664,Monday,35,8,57,traffic
665,Monday,36,8,17,traffic
668,Monday,37,8,17,traffic
669,Monday,37,8,27,traffic
670,Monday,37,8,36,traffic
671,Monday,37,8,45,traffic
672,Monday,37,8,48,traffic
673,Monday,38,8,11,traffic
674,Monday,38,8,19,traffic
677,Monday,38,8,28,traffic
678,Monday,38,8,37,traffic
679,Monday,38,8,54,traffic
680,Monday,39,8,3,traffic
681,Monday,39,8,30,traffic
682,Monday,39,8,49,traffic
683,Monday,40,8,16,traffic
684,Monday,40,8,38,traffic
685,Monday,40,8,41,traffic
686,Monday,41,8,2,traffic
687,Monday,41,8,16,traffic
688,Monday,41,8,31,traffic
689,Monday,41,8,51,traffic
690,Monday,42,8,8,traffic
692,Monday,42,8,19,traffic
693,Monday,42,8,23,traffic
694,Monday,42,8,43,traffic
695,Monday,43,8,7,traffic
696,Monday,43,8,19,traffic
697,Monday,43,8,32,traffic
698,Monday,43,8,51,traffic
699,Monday,44,8,2,traffic
700,Monday,44,8,7,traffic
701,Monday,44,8,22,traffic
702,Monday,44,8,42,traffic
703,Monday,45,8,3,traffic
704,Monday,45,8,17,traffic
705,Monday,45,8,20,traffic
706,Monday,45,8,25,traffic
707,Monday,45,8,27,traffic
708,Monday,45,8,33,traffic
709,Monday,45,8,55,traffic
710,Monday,46,8,5,traffic
712,Monday,46,8,50,traffic
714,Monday,47,8,17,traffic
715,Monday,47,8,18,traffic
716,Monday,47,8,33,traffic
717,Monday,47,8,34,traffic
718,Monday,47,8,59,traffic
719,Monday,48,8,27,traffic
720,Monday,48,8,37,traffic
721,Monday,49,8,4,traffic
723,Monday,49,8,49,traffic
724,Monday,50,8,18,traffic
725,Monday,50,8,36,traffic
726,Monday,50,8,57,traffic
727,Monday,51,8,2,traffic
728,Monday,51,8,15,traffic
729,Monday,51,8,32,traffic
730,Monday,51,8,41,traffic
731,Monday,51,8,42,traffic
732,Monday,51,8,54,traffic
733,Monday,52,8,20,traffic
734,Monday,52,8,32,traffic
736,Monday,53,8,13,traffic
737,Monday,53,8,14,traffic
738,Monday,53,8,20,traffic
739,Monday,53,8,39,traffic
740,Monday,53,8,44,traffic
741,Monday,54,8,1,traffic
742,Monday,54,8,2,traffic
743,Monday,54,8,6,traffic
744,Monday,54,8,22,traffic
745,Monday,54,8,37,traffic
746,Monday,54,8,46,traffic
747,Monday,55,8,8,traffic
748,Monday,55,8,36,traffic
749,Monday,55,8,42,traffic
750,Monday,55,8,53,traffic
751,Monday,55,8,58,traffic
752,Monday,56,8,3,traffic
753,Monday,56,8,22,traffic
754,Monday,56,8,23,traffic
755,Monday,56,8,36,traffic
756,Monday,56,8,48,traffic
757,Monday,56,8,59,traffic
758,Monday,57,8,26,traffic
759,Monday,57,8,43,traffic
760,Monday,58,8,11,traffic
761,Monday,58,8,20,traffic
762,Monday,58,8,45,traffic
763,Monday,58,8,55,traffic
764,Monday,59,8,2,traffic
765,Monday,59,8,20,traffic
766,Monday,59,8,45,traffic
768,Monday,59,8,54,traffic
769,Monday,0,9,3,traffic
770,Monday,0,9,29,traffic
771,Monday,0,9,58,traffic
772,Monday,1,9,0,traffic
773,Monday,1,9,8,traffic
774,Monday,1,9,17,traffic
775,Monday,1,9,41,traffic
776,Monday,2,9,3,traffic
777,Monday,2,9,29,traffic
778,Monday,2,9,49,traffic
779,Monday,3,9,0,traffic
780,Monday,3,9,9,traffic
781,Monday,3,9,22,traffic
782,Monday,3,9,28,traffic
783,Monday,3,9,32,traffic
784,Monday,3,9,48,traffic
785,Monday,4,9,6,traffic
786,Monday,4,9,33,traffic
787,Monday,4,9,54,traffic
788,Monday,5,9,8,traffic
789,Monday,5,9,37,traffic
792,Monday,5,9,57,traffic
793,Monday,6,9,4,traffic
794,Monday,6,9,30,traffic
795,Monday,6,9,41,traffic
796,Monday,6,9,45,traffic
798,Monday,7,9,5,traffic
800,Monday,7,9,37,traffic
801,Monday,7,9,43,traffic
802,Monday,7,9,53,traffic
803,Monday,7,9,55,traffic
804,Monday,8,9,0,traffic
805,Monday,8,9,9,traffic
806,Monday,8,9,16,traffic
807,Monday,8,9,45,traffic
808,Monday,8,9,47,traffic
809,Monday,8,9,55,traffic
810,Monday,8,9,56,traffic
811,Monday,9,9,8,traffic
812,Monday,9,9,23,traffic
813,Monday,9,9,47,traffic
815,Monday,10,9,28,traffic
816,Monday,10,9,47,traffic
817,Monday,11,9,2,traffic
819,Monday,11,9,12,traffic
820,Monday,11,9,29,traffic
821,Monday,11,9,44,traffic
822,Monday,11,9,59,traffic
824,Monday,12,9,22,traffic
825,Monday,12,9,25,traffic
826,Monday,12,9,40,traffic
827,Monday,12,9,41,traffic
828,Monday,12,9,43,traffic
829,Monday,12,9,52,traffic
830,Monday,13,9,15,traffic
831,Monday,13,9,39,traffic
832,Monday,13,9,51,traffic
833,Monday,13,9,52,traffic
834,Monday,14,9,14,traffic
835,Monday,14,9,18,traffic
836,Monday,14,9,44,traffic
837,Monday,14,9,45,traffic
838,Monday,14,9,56,traffic
839,Monday,15,9,19,traffic
841,Monday,15,9,55,traffic
842,Monday,16,9,4,traffic
843,Monday,16,9,25,traffic
845,Monday,17,9,7,traffic
846,Monday,17,9,24,traffic
847,Monday,17,9,47,traffic
848,Monday,17,9,52,traffic
849,Monday,18,9,13,traffic
850,Monday,18,9,28,traffic
851,Monday,18,9,57,traffic
852,Monday,19,9,20,traffic
853,Monday,19,9,31,traffic
854,Monday,19,9,57,traffic
856,Monday,20,9,23,traffic
857,Monday,20,9,51,traffic
858,Monday,20,9,52,traffic
859,Monday,21,9,9,traffic
861,Monday,21,9,26,traffic
862,Monday,21,9,29,traffic
863,Monday,21,9,54,traffic
864,Monday,21,9,59,traffic
865,Monday,22,9,6,traffic
866,Monday,22,9,19,traffic
867,Monday,22,9,41,traffic
868,Monday,23,9,4,traffic
869,Monday,23,9,7,traffic
870,Monday,23,9,16,traffic
871,Monday,23,9,44,traffic
872,Monday,24,9,8,traffic
873,Monday,24,9,20,traffic
874,Monday,24,9,37,traffic
875,Monday,24,9,38,traffic
876,Monday,25,9,6,traffic
878,Monday,25,9,22,traffic
879,Monday,25,9,40,traffic
880,Monday,25,9,52,traffic
881,Monday,25,9,59,traffic
882,Monday,26,9,20,traffic
883,Monday,26,9,47,traffic
884,Monday,27,9,6,traffic
885,Monday,27,9,8,traffic
886,Monday,27,9,22,traffic
888,Monday,28,9,2,traffic
889,Monday,28,9,14,traffic
890,Monday,28,9,34,traffic
891,Monday,28,9,44,traffic
893,Monday,29,9,30,traffic
894,Monday,29,9,38,traffic
896,Monday,29,9,56,traffic
897,Monday,30,9,4,traffic
898,Monday,30,9,33,traffic
899,Monday,30,9,41,traffic
900,Monday,31,9,4,traffic
901,Monday,31,9,21,traffic
902,Monday,31,9,31,traffic
903,Monday,31,9,53,traffic
904,Monday,32,9,13,traffic
905,Monday,32,9,32,traffic
906,Monday,32,9,40,traffic
907,Monday,33,9,4,traffic
911,Monday,33,9,32,traffic
912,Monday,33,9,55,traffic
913,Monday,33,9,59,traffic
914,Monday,34,9,2,traffic
915,Monday,34,9,27,traffic
916,Monday,34,9,56,traffic
917,Monday,35,9,10,traffic
918,Monday,35,9,22,traffic
919,Monday,35,9,45,traffic
920,Monday,36,9,1,traffic
921,Monday,36,9,4,traffic
922,Monday,36,9,18,traffic
923,Monday,36,9,47,traffic
924,Monday,37,9,12,traffic
925,Monday,37,9,36,traffic
927,Monday,37,9,42,traffic
928,Monday,38,9,9,traffic
